Study,test_type,ig_type,TP,FN,TN ,FP
R_18,ELISA,IgM,174,40,100,0
R_18,ELISA,IgG,172,42,100,0
R_18,ELISA,either,186,28,100,0
R_49,ELISA,IgM,28,12,50,0
R_49,ELISA,IgG,34,6,50,0
R_49,ELISA,either,34,6,50,0
52_(commercial),ELISA,IgM,74,56,155,5
52_(commercial),ELISA,IgG,96,34,142,18
52_(commercial),ELISA,either,98,32,140,20
R_20,ELISA,IgM,210,3,143,30
R_20,ELISA,IgG,195,2,112,61
R_30,ELISA,IgM,300,0,74,6
R_30,ELISA,IgG,100,0,71,9
R_38,ELISA,IgM,299,1,46,1
R_38,ELISA,IgG,299,1,46,1
R_41,ELISA,IgM,60,0,51,15
R_41,ELISA,IgG,57,3,55,11
R_48,ELISA,IgM,207,0,37,10
R_48,ELISA,IgG,204,3,34,13
R_17,ELISA,IgM,285,0,62,20
R_51,ELISA,IgG,79,3,20,10
R_23,LFIA,IgM,117,11,328,69
R_23,LFIA,IgG,117,11,280,117
R_23,LFIA,either,116,12,352,45
R_37,LFIA,IgM,45,0,12,43
R_37,LFIA,IgG,45,0,23,32
R_37,LFIA,either,45,0,26,29
R_44,LFIA,IgM,47,1,60,79
R_44,LFIA,IgG,48,0,20,119
R_44,LFIA,either,47,1,60,79
52_1,LFIA,IgM,138,21,79,49
52_1,LFIA,IgG,151,8,71,57
52_1,LFIA,either,134,25,83,45
52_2,LFIA,IgM,141,8,91,37
52_2,LFIA,IgG,141,8,80,48
52_2,LFIA,either,136,13,95,33
52_3,LFIA,IgM,144,15,85,41
52_3,LFIA,IgG,148,11,84,42
52_3,LFIA,either,142,17,85,41
52_4,LFIA,IgM,129,31,94,36
52_4,LFIA,IgG,152,6,62,54
52_4,LFIA,either,129,31,95,35
52_5,LFIA,IgM,130,6,33,82
52_5,LFIA,IgG,134,2,72,44
52_5,LFIA,either,129,7,66,50
52_6,LFIA,IgM,157,3,89,40
52_6,LFIA,IgG,158,2,69,60
52_6,LFIA,either,155,5,91,38
52_7,LFIA,IgM,160,0,62,67
52_7,LFIA,IgG,160,0,73,56
52_7,LFIA,either,160,0,74,55
52_8,LFIA,IgM,154,5,79,51
52_8,LFIA,IgG,155,4,73,57
52_8,LFIA,either,154,5,80,50
52_9,LFIA,IgM,139,9,79,42
52_9,LFIA,IgG,143,5,77,44
52_9,LFIA,either,139,9,79,42
52_10,LFIA,either,146,1,87,39
R_29,LFIA,IgM,34,56,83,6
R_29,LFIA,IgG,75,15,82,7
R_29,LFIA,either,77,13,81,8
15_HA,LFIA,IgM,25,5,30,0
15_HA,LFIA,IgG,24,6,30,0
15_HA,LFIA,either,25,5,30,0
R_30,LFIA,IgM,71,9,205,4
R_30,LFIA,IgG,69,11,208,1
R_53,LFIA,IgM,20,9,124,0
R_53,LFIA,IgG,27,2,123,1
R_35,LFIA,either,106,16,41,0
R_32,LFIA,either,21,49,107,13
49_1,LFIA,either,18,15,60,0
49_2,LFIA,either,23,15,90,1
49_3,LFIA,either,21,12,58,2
49_4,LFIA,either,25,12,59,2
49_5,LFIA,either,19,12,58,2
49_6,LFIA,either,20,11,59,1
49_7,LFIA,either,23,10,57,3
49_8,LFIA,either,18,14,60,0
49_9,LFIA,either,22,18,138,4
51_1,LFIA,either,27,3,32,0
51_2,LFIA,either,27,3,32,0
51_3,LFIA,either,28,2,32,0
51_4,LFIA,either,25,5,17,0
51_5,LFIA,either,4,1,12,3
51_6,LFIA,either,1,0,13,2
R_54,LFIA,either,8,14,24,3
R_27,CLIA,IgM,65,14,65,15
R_27,CLIA,IgG,65,14,78,2
R_27,CLIA,either,72,7,64,16
R_47,CLIA,IgM,209,7,446,37
R_47,CLIA,IgG,209,7,482,1
R_47,CLIA,either,215,1,483,0
R_24,CLIA,IgM,158,118,167,0
R_24,CLIA,IgG,197,79,167,0
R_36,CLIA,IgM,44,17,60,4
R_36,CLIA,IgG,46,15,64,0
R_38,CLIA,IgM,46,1,286,14
R_38,CLIA,IgG,45,2,290,10
R_39,CLIA,IgM,13,14,33,0
R_39,CLIA,IgG,24,3,30,3
R_40,CLIA,IgM,15,1,6,34
R_40,CLIA,IgG,16,0,0,40
R_45,CLIA,IgM,144,61,76,3
R_45,CLIA,IgG,197,8,73,6
R_46,CLIA,IgM,432,71,1529,29
R_46,CLIA,IgG,486,17,1528,30
R_30,CLIA,IgM,69,11,298,2
